category,average_f_score_top_20,average_f_score_top_10,overall_f_score_top_5
AircraftBuoyant,0.039285714285714285,0.045,
Apartment,0.08074534161490683,0.04076086956521739,
AquaticAnimal,0.10919540229885057,0.09074410163339382,
Bed,0.12721417069243157,0.10905349794238682,
Bicycle,0.40341880341880343,0.3692307692307692,
Biplane,0.12291666666666666,0.08559670781893004,
Bird,0.06998556998556998,0.060034305317324184,
Bookset,0.2846153846153846,0.23448275862068968,
Bottle,0.1264516129032258,0.0935483870967742,
BuildingNonResidential,0.027417027417027416,0.01543739279588336,
Bus,0.14871794871794872,0.11379310344827587,
Car,0.17207657095297546,0.10914927768860352,
Cellphone,0.11538461538461538,0.10689655172413792,
Chess,0.22092115534738485,0.18487394957983194,
City,0.0821256038647343,0.053497942386831275,
ClassicPiano,0.17435897435897435,0.15172413793103448,
Computer,0.07575757575757576,0.06782106782106782,
ComputerKeyboard,0.43076923076923074,0.4310344827586207,
Cup,0.08435374149659863,0.07692307692307691,
DeskLamp,0.05419354838709677,0.04516129032258064,
DeskPhone,0.08205128205128205,0.07931034482758621,
Door,0.10101010101010101,0.09691252144082334,
Drum,0.24871794871794872,0.21724137931034485,
Fish,0.49230769230769234,0.4275862068965518,
FloorLamp,0.022796352583586626,0.013513513513513514,
Glasses,0.18974358974358974,0.1896551724137931,
Guitar,0.1282051282051282,0.0896551724137931,
Gun,0.10076130765785937,0.06227483273288728,
Hand,0.24420849420849422,0.2044653349001175,
Hat,0.06274509803921569,0.03888888888888888,
Helicopter,0.1557422969187675,0.1084967320261438,
House,0.06822742474916389,0.043478260869565216,
HumanHead,0.27899159663865547,0.19019607843137254,
Humanoid,0.12282389992126672,0.0742468053353232,
Insect,0.09233511586452763,0.06303030303030303,
Jet,0.10040576707243373,0.05934854619065145,
Knife,0.054750402576489526,0.03292181069958847,
MilitaryVehicle,0.1205128205128205,0.10689655172413792,
Monitor,0.05897435897435897,0.058620689655172406,
Monoplane,0.035897435897435895,0.03103448275862069,
Motorcycle,0.1606837606837607,0.13406593406593406,
Mug,0.14529914529914528,0.10769230769230768,
MultiSeat,0.0875,0.06748971193415637,
Musical_Instrument,0.07857142857142858,0.05714285714285714,
NonWheelChair,0.18438818565400844,0.11980676328502415,
PianoBoard,0.1769230769230769,0.17586206896551723,
PlantIndoors,0.10181958962446767,0.07407407407407407,
PlantWildNonTree,0.01937984496124031,0.022727272727272724,
Quadruped,0.14635272391505078,0.10047846889952154,
RectangleTable,0.13253012048192772,0.0898972602739726,
Rocket,0.035897435897435895,0.034482758620689655,
RoundTable,0.07625482625482624,0.05757931844888367,
Shelf,0.07051762940735183,0.053667262969588556,
Ship,0.06775067750677508,0.04188712522045855,
Sign,0.09019607843137255,0.09444444444444443,
Skyscraper,0.0923076923076923,0.09310344827586206,
Spoon,0.10512820512820513,0.09655172413793103,
Starship,0.05161290322580645,0.037096774193548385,
SubmachineGun,0.13589743589743591,0.09310344827586206,
Sword,0.2589098532494759,0.17346317711503348,
Tool,0.16378066378066378,0.15008576329331047,
Train,0.07210884353741495,0.061538461538461535,
Tree,0.11089619600257898,0.0782674772036474,
Truck,0.1111111111111111,0.07818930041152264,
TruckNonContainer,0.3358974358974359,0.2482758620689655,
Vase,0.041025641025641026,0.041379310344827586,
Violin,0.08461538461538462,0.058620689655172406,
Wheel,0.0718954248366013,0.08144796380090498,
WheelChair,0.30769230769230765,0.2517241379310345,
Overall,0.13028395920890815,0.09886061595552932,0.06766558965399944
